ID,Category,Issue,Action,Details
17812897,HR,long_resume,prompt_text_limited,clean_characters=8885; prompt_characters=7987; limit=8000
15375009,HR,long_resume,prompt_text_limited,clean_characters=8641; prompt_characters=7987; limit=8000
11480899,HR,long_resume,prompt_text_limited,clean_characters=8389; prompt_characters=7991; limit=8000
24184357,HR,long_resume,prompt_text_limited,clean_characters=8775; prompt_characters=7988; limit=8000
18827609,HR,long_resume,prompt_text_limited,clean_characters=8102; prompt_characters=7986; limit=8000
25676643,HR,long_resume,prompt_text_limited,clean_characters=11004; prompt_characters=7984; limit=8000
57667857,HR,long_resume,prompt_text_limited,clean_characters=12256; prompt_characters=7995; limit=8000
21265194,HR,long_resume,prompt_text_limited,clean_characters=8963; prompt_characters=7983; limit=8000
26202430,HR,encoding_replacement_character,excluded,replacement_characters=2; source_row=49
72231872,HR,long_resume,prompt_text_limited,clean_characters=8801; prompt_characters=7995; limit=8000
21830565,HR,long_resume,prompt_text_limited,clean_characters=8076; prompt_characters=7983; limit=8000
24508725,HR,contact_data,redacted,email_matches=0; phone_matches=2; source_row=83
24508725,HR,long_resume,prompt_text_limited,clean_characters=16771; prompt_characters=7994; limit=8000
19179079,HR,long_resume,prompt_text_limited,clean_characters=13309; prompt_characters=7995; limit=8000
26048718,HR,long_resume,prompt_text_limited,clean_characters=12571; prompt_characters=7987; limit=8000
18297650,HR,long_resume,prompt_text_limited,clean_characters=10124; prompt_characters=7996; limit=8000
20806155,HR,contact_data,redacted,email_matches=0; phone_matches=6; source_row=96
20806155,HR,long_resume,prompt_text_limited,clean_characters=24577; prompt_characters=7993; limit=8000
15575117,HR,long_resume,prompt_text_limited,clean_characters=8910; prompt_characters=7989; limit=8000
35990852,DESIGNER,long_resume,prompt_text_limited,clean_characters=10144; prompt_characters=7989; limit=8000
90066849,DESIGNER,long_resume,prompt_text_limited,clean_characters=8017; prompt_characters=7994; limit=8000
27529455,DESIGNER,long_resume,prompt_text_limited,clean_characters=8083; prompt_characters=7983; limit=8000
